label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
4	67 kg	1.1684	ferret	rIVERSIDE	510	1422	160	1.6113	0.1017	VANI	0.5628	Sam	-175	969 N
1	17 kg	2.1265	fish	Fresno	685	1127	1116	-0.0715	-0.8064	Michael	1.7852	Vani	-521	-873 N
6	-650 kg	0.3566	rat	Stockton	543	1505	439	1.9009	0.4194	Sam	1.4273	Michael	974	327 N
6	636 kg	0.3895	rat	STOCKTON	-223	1711	1073	0.9005	-0.5381	Eriq	0.9917	Michael	1970	-298 N
8	502 kg	0.6011	rabbit	Santa Clarita	-660	1986	241	0.9996	N/A	ERIQ	-0.0854	eriq	-223	630 N
4	-45 kg	-0.1349	ferret	Modesto, Oakland, San Bernardino, San Diego	738	953	691	0.3788	-0.4334	Vani	1.578	Tony	1845	841 N
7	587 kg	1.3893	reptile	Chula Vista	193	1535	-575	-0.1642	0.9083	Chris	-0.4872	Tony	-531	756 N
8	233 kg	0.8216	rabbit	Santa Clarita	283	1715	-329	1.7613	-0.5975	Reilly	0.1548	Eriq	-1302	27 N
9	731 kg	-0.9813	guinea pig	Fremont	674	1690	1609	0.5868	0.217	Tony	0.9496	Andrew	1533	1856 N
3	441 kg	1.3451	pig	Long Beach, Irvine	1079	981	594	0.4092	-0.5598	Andrew	0.6219	Chris	58	2022 N
3	446 kg	0.4804	pig	San Jose, Irvine	-54	776	21	1.3402	0.455	Andrew	0.4944	Chris	-63	110 N
9	1183 kg	-0.1983	guinea pig	Fremont	-313	926	-461	-0.8498	-0.2762	Tony	1.2455	Andrew	1275	233 N
0	464 kg	-0.0751	cat	Sacramento	70	745	-402	1.0221	0.4512	Fabrice	1.2936	Lise	942	-552 N
9	687 kg	0.9432	bird	Fremont	1020	514	1094	N/A	0.7084	Tony	0.4434	Andrew	824	185 N
4	-717 kg	1.7729	ferret	Riverside	-962	2020	-810	1.1406	0.4929	reilly	0.3563	Vani	1051	-154 N
5	251 kg	0.4596	hamster	Anaheim, Oakland	220	420	-927	0.5211	0.1276	Lise	-0.0253	Reilly	968	360 N
6	546 kg	-0.1476	rat	Chula Vista	768	-717	2113	-0.1384	0.1393	Sam	2.6367	Michael	1217	30 N
2	395 kg	1.5255	chicken	Bakersfield	1065	111	-328	0.5804	-0.1782	Inan	-0.2678	Lise	-1419	-178 N
